day_id,city_id,condition_text,temperature_celsius,wind_kph,wind_degree,pressure_mb,precip_mm,humidity,cloud,feels_like_celsius,visibility_km,uv_index,gust_kph,air_quality_us-epa-index,sunrise,sunset
D0003,C001,6,-0.3256872786491066,-0.9763759204998188,-1.4911148620878538,-0.34581331888589556,3.8081211096270215,1.1606122086465238,0.8023139560042438,-0.44224461783006364,0.18757280849862076,-0.5600105758950595,-0.46610845586573635,-0.5620292508044824,-0.4713092532086586,0.6028912394037342
D0004,C001,0,-0.7911862038716714,-0.6349109618833844,-0.08478654047538337,0.802218421930329,-0.2466136521794618,0.5061881380853879,-1.2690571449265833,-0.7912700549026701,0.18757280849862076,-0.5600105758950595,-0.5943011846126348,-0.5620292508044824,-0.43911801803299233,0.5592944846219727
D0007,C001,1,-0.17052097024158502,-0.9217415271211892,1.5224458270817256,0.31020481872337563,-0.2466136521794618,1.1606122086465238,0.11185692236063478,-0.32590280547252815,0.18757280849862076,-0.5600105758950595,-0.23719286881770327,0.2818955489928438,-0.3747355476816599,0.450302597667569
D0019,C001,0,-0.4808535870566282,-0.9763759204998188,-0.9486739380373295,0.6382138875280112,-0.2466136521794618,0.5061881380853879,-1.2690571449265833,-0.5585864301875991,0.18757280849862076,-0.5600105758950595,-0.8598432655883531,1.1258203487901701,0.011559274426334828,0.014335049849954262
D0028,C002,1,-0.4808535870566282,-0.9763759204998188,-0.7578150943899228,-0.5098178532882134,-0.2466136521794618,-0.31184195011603194,-0.5786001112829743,-0.5585864301875991,0.18757280849862076,-0.5600105758950595,-0.8598432655883531,-0.5620292508044824,-0.08501443110066385,0.6464879941854957
D0035,C002,1,0.4501442633885013,-0.6349109618833844,-0.8884027242539378,0.31020481872337563,-0.2466136521794618,0.23351144201824794,-0.5786001112829743,0.3721480686726847,0.18757280849862076,-0.5600105758950595,-0.03574715221543409,-0.5620292508044824,0.04375050960200105,0.450302597667569
D0042,C002,6,0.4501442633885013,-0.9763759204998188,-0.17519336115047074,0.4742093531256934,-0.2466136521794618,0.23351144201824794,0.11185692236063478,0.29070880002240995,-0.43854130488701965,-0.5600105758950595,-0.3012892331911525,-0.5620292508044824,0.2368979206559984,0.21052044636788092
D0079,C004,2,1.0708094970185875,0.5943628891357795,-0.6874986783092992,0.31020481872337563,0.023701998607637075,0.015370085164535998,0.8023139560042438,1.186540755175433,0.18757280849862076,-0.5600105758950595,1.8047341676507513,-0.5620292508044824,-0.8576040753166533,-0.5960195170947065
D0081,C004,3,1.0708094970185875,0.5943628891357795,-0.58704665533698,0.31020481872337563,-0.15650843525042885,0.015370085164535998,0.11185692236063478,1.1981749364111867,0.18757280849862076,-0.5600105758950595,1.44762585185582,-0.5620292508044824,-0.825412840140987,-0.6178178944855872
D0087,C004,3,0.7604768802035444,-0.6349109618833844,-0.58704665533698,0.31020481872337563,-0.15650843525042885,0.015370085164535998,0.4432762985095671,0.7095393245095374,0.18757280849862076,-0.5600105758950595,1.2828066291812361,-0.5620292508044824,-0.825412840140987,-0.7050114040491101
